codigo_cliente,numero_contrato,data_vencimento,dia_vencimento,parcela_atraso,vl_atraso,empresa_cobranca,data_pagamento,dia_pagamento,vl_pagamento,vl_honorarios_cobranca,dias_em_atraso,eficiencia_cobranca,custo_cobranca_percentual,houve_atraso
9755,822547,2025-06-08,8,19,1046.05,COBRADORA ABC LTDA,2025-06-16,16,1046.05,135.99,8,100.0,13.000334592036712,1
6116,382397,2025-06-05,5,15,900.94,COBRADORA ABC LTDA,2025-06-17,17,900.94,117.12,12,100.0,12.99975581059782,1
7019,156481,2025-06-07,7,15,930.82,COBRADORA ABC LTDA,2025-06-18,18,930.82,121.01,11,100.0,13.000365269332418,1
2757,826704,2025-06-07,7,13,557.44,COBRADORA ABC LTDA,2025-06-15,15,557.44,72.47,8,100.0,13.00050229621125,1
8574,818358,2025-06-06,6,19,954.91,COBRADORA ABC LTDA,2025-06-17,17,954.91,124.14,11,100.0,13.00017802724864,1
7374,114401,2025-06-09,9,13,1295.45,COBRADORA ABC LTDA,2025-06-18,18,1295.45,168.41,9,100.0,13.000115789879963,1
7892,869972,2025-06-05,5,20,887.99,COBRADORA ABC LTDA,2025-06-15,15,887.99,115.44,10,100.0,13.000146398045024,1
2678,801979,2025-06-06,6,15,883.58,COBRADORA ABC LTDA,2025-06-18,18,883.58,114.87,12,100.0,13.000520609339278,1
4242,359235,2025-06-08,8,12,515.72,COBRADORA ABC LTDA,2025-06-16,16,515.72,67.04,8,100.0,12.999301946792835,1
5636,503291,2025-06-09,9,15,957.84,COBRADORA ABC LTDA,2025-06-18,18,957.84,124.52,9,100.0,13.000083521256158,1
2059,948194,2025-06-05,5,14,525.34,COBRADORA ABC LTDA,2025-06-18,18,525.34,68.29,13,100.0,12.999200517759926,1
7668,540450,2025-06-07,7,17,1070.35,COBRADORA ABC LTDA,2025-06-16,16,1070.35,139.15,9,100.0,13.00042042322605,1
4157,557511,2025-06-05,5,18,1006.78,COBRADORA ABC LTDA,2025-06-16,16,1006.78,130.88,11,100.0,12.999860942807764,1
6915,566614,2025-06-07,7,19,1340.01,COBRADORA ABC LTDA,2025-06-18,18,1340.01,174.2,11,100.0,12.999902985798611,1
3693,190582,2025-06-09,9,13,1081.78,COBRADORA ABC LTDA,2025-06-16,16,1081.78,140.63,7,100.0,12.999870583667658,1
4627,298878,2025-06-07,7,17,823.43,COBRADORA ABC LTDA,2025-06-18,18,823.43,107.05,11,100.0,13.000497917248582,1
6450,223870,2025-06-08,8,17,1016.23,COBRADORA ABC LTDA,2025-06-17,17,1016.23,132.11,9,100.0,13.000009840292062,1
2663,400661,2025-06-10,10,16,1199.71,COBRADORA ABC LTDA,2025-06-18,18,1199.71,155.96,8,100.0,12.999808287002693,1
6592,489291,2025-06-07,7,18,593.96,COBRADORA ABC LTDA,2025-06-15,15,593.96,77.21,8,100.0,12.999191864772037,1
8392,720013,2025-06-08,8,14,1121.07,COBRADORA ABC LTDA,2025-06-16,16,1121.07,145.74,8,100.0,13.00008028044636,1
2306,904615,2025-06-10,10,15,1416.63,COBRADORA ABC LTDA,2025-06-17,17,1416.63,184.16,7,100.0,12.99986587888157,1
7776,240672,2025-06-09,9,20,799.13,COBRADORA ABC LTDA,2025-06-16,16,799.13,103.89,7,100.0,13.000387921865029,1
6864,425975,2025-06-09,9,15,1126.63,COBRADORA ABC LTDA,2025-06-16,16,1126.63,146.46,7,100.0,12.999831355458314,1
8526,122732,2025-06-05,5,14,1321.33,COBRADORA ABC LTDA,2025-06-16,16,1321.33,171.77,11,100.0,12.99978052416883,1
9901,409969,2025-06-08,8,13,1011.81,COBRADORA ABC LTDA,2025-06-15,15,1011.81,131.54,7,100.0,13.000464514088614,1
6575,765980,2025-06-08,8,16,1217.98,COBRADORA ABC LTDA,2025-06-15,15,1217.98,158.34,7,100.0,13.00021346820145,1
6530,511136,2025-06-06,6,15,811.01,COBRADORA ABC LTDA,2025-06-18,18,811.01,105.43,12,100.0,12.999839706045549,1
5413,641484,2025-06-06,6,19,806.06,COBRADORA ABC LTDA,2025-06-15,15,806.06,104.79,9,100.0,13.000272932536042,1
4748,346603,2025-06-10,10,18,1167.58,COBRADORA ABC LTDA,2025-06-16,16,1167.58,151.79,6,100.0,13.000393977286354,1
1663,694335,2025-06-10,10,17,1205.41,COBRADORA ABC LTDA,2025-06-17,17,1205.41,156.7,7,100.0,12.999726234227357,1
2998,351082,2025-06-06,6,13,1437.01,COBRADORA ABC LTDA,2025-06-17,17,1437.01,186.81,11,100.0,12.999909534380416,1
8994,351216,2025-06-10,10,14,724.84,COBRADORA ABC LTDA,2025-06-17,17,724.84,94.23,7,100.0,13.000110369184922,1
2495,946881,2025-06-07,7,20,968.22,COBRADORA ABC LTDA,2025-06-16,16,968.22,125.87,9,100.0,13.000144595236621,1
4304,784990,2025-06-06,6,20,750.51,COBRADORA ABC LTDA,2025-06-15,15,750.51,97.57,9,100.0,13.000492998094629,1
4763,935622,2025-06-08,8,16,580.09,COBRADORA ABC LTDA,2025-06-17,17,580.09,75.41,9,100.0,12.999706942026238,1
6232,623455,2025-06-07,7,14,903.23,COBRADORA ABC LTDA,2025-06-16,16,903.23,117.42,9,100.0,13.000011071377168,1
2853,690428,2025-06-10,10,13,874.08,COBRADORA ABC LTDA,2025-06-16,16,874.08,113.63,6,100.0,12.999954237598388,1
7585,524721,2025-06-09,9,19,770.43,COBRADORA ABC LTDA,2025-06-17,17,770.43,100.16,8,100.0,13.00053217034643,1
2291,754734,2025-06-05,5,17,796.99,COBRADORA ABC LTDA,2025-06-17,17,796.99,103.61,12,100.0,13.000163113715354,1
4581,141375,2025-06-06,6,18,860.41,COBRADORA ABC LTDA,2025-06-18,18,860.41,111.85,12,100.0,12.999616461919317,1
8554,278472,2025-06-09,9,12,1488.84,COBRADORA ABC LTDA,2025-06-18,18,1488.84,193.55,9,100.0,13.000053733107656,1
8280,725640,2025-06-10,10,12,1282.96,COBRADORA ABC LTDA,2025-06-16,16,1282.96,166.78,6,100.0,12.999625865186756,1
2636,353713,2025-06-08,8,13,571.4,COBRADORA ABC LTDA,2025-06-18,18,571.4,74.28,10,100.0,12.999649982499125,1
4696,559239,2025-06-05,5,14,1372.41,COBRADORA ABC LTDA,2025-06-18,18,1372.41,178.41,13,100.0,12.999759547074124,1
1698,622568,2025-06-09,9,12,1133.3,COBRADORA ABC LTDA,2025-06-17,17,1133.3,147.33,8,100.0,13.00008823788935,1
5737,965001,2025-06-05,5,16,1390.59,COBRADORA ABC LTDA,2025-06-18,18,1390.59,180.78,13,100.0,13.000237309343518,1
1854,438125,2025-06-06,6,14,841.71,COBRADORA ABC LTDA,2025-06-16,16,841.71,109.42,10,100.0,12.999726746741752,1
9164,748735,2025-06-10,10,12,964.52,COBRADORA ABC LTDA,2025-06-17,17,964.52,125.39,7,100.0,13.000248828432795,1
6855,859115,2025-06-08,8,19,1396.23,COBRADORA ABC LTDA,2025-06-18,18,1396.23,181.51,10,100.0,13.000007162143772,1
8392,103831,2025-06-10,10,17,772.57,COBRADORA ABC LTDA,2025-06-18,18,772.57,100.43,8,100.0,12.999469303752411,1
7528,464336,2025-06-05,5,20,1415.5,COBRADORA ABC LTDA,2025-06-18,18,1415.5,184.02,13,100.0,13.000353232073472,1
6249,922093,2025-06-09,9,14,1328.5,COBRADORA ABC LTDA,2025-06-15,15,1328.5,172.7,6,100.0,12.999623635679336,1
6172,511755,2025-06-06,6,20,1480.56,COBRADORA ABC LTDA,2025-06-18,18,1480.56,192.47,12,100.0,12.999810882368834,1
2707,232137,2025-06-06,6,20,824.26,COBRADORA ABC LTDA,2025-06-18,18,824.26,107.15,12,100.0,12.999538980418802,1
6791,702553,2025-06-10,10,12,735.75,COBRADORA ABC LTDA,2025-06-16,16,735.75,95.65,6,100.0,13.000339789330614,1
6535,848972,2025-06-09,9,14,830.87,COBRADORA ABC LTDA,2025-06-18,18,830.87,108.01,9,100.0,12.999626897107852,1
5931,365490,2025-06-09,9,17,1454.65,COBRADORA ABC LTDA,2025-06-15,15,1454.65,189.1,6,100.0,12.99969064723473,1
4510,586551,2025-06-05,5,19,833.07,COBRADORA ABC LTDA,2025-06-17,17,833.07,108.3,12,100.0,13.000108034138785,1
1202,694819,2025-06-10,10,15,1065.21,COBRADORA ABC LTDA,2025-06-18,18,1065.21,138.48,8,100.0,13.000253471146534,1
5218,856507,2025-06-10,10,16,903.68,COBRADORA ABC LTDA,2025-06-18,18,903.68,117.48,8,100.0,13.000177053824363,1
9958,654304,2025-06-07,7,20,896.22,COBRADORA ABC LTDA,2025-06-16,16,896.22,116.51,9,100.0,13.000156211644462,1
5389,491230,2025-06-10,10,17,693.38,COBRADORA ABC LTDA,2025-06-18,18,693.38,90.14,8,100.0,13.000086532637226,1
3327,609089,2025-06-06,6,18,1037.08,COBRADORA ABC LTDA,2025-06-18,18,1037.08,134.82,12,100.0,12.999961430169321,1
9004,861547,2025-06-05,5,18,1349.4,COBRADORA ABC LTDA,2025-06-18,18,1349.4,175.42,13,100.0,12.999851785978953,1
3931,209884,2025-06-09,9,15,549.49,COBRADORA ABC LTDA,2025-06-18,18,549.49,71.43,9,100.0,12.99932664834665,1
8777,618317,2025-06-10,10,15,1389.23,COBRADORA ABC LTDA,2025-06-17,17,1389.23,180.6,7,100.0,13.000007198232113,1
1197,289635,2025-06-05,5,15,1165.47,COBRADORA ABC LTDA,2025-06-16,16,1165.47,151.51,11,100.0,12.999905617476209,1
8125,154847,2025-06-10,10,16,1116.74,COBRADORA ABC LTDA,2025-06-17,17,1116.74,145.18,7,100.0,13.000340276160967,1
2930,697953,2025-06-09,9,16,1125.9,COBRADORA ABC LTDA,2025-06-15,15,1125.9,146.37,6,100.0,13.000266453503864,1
7287,947785,2025-06-08,8,19,796.27,COBRADORA ABC LTDA,2025-06-18,18,796.27,103.52,10,100.0,13.000615369158702,1
9800,177591,2025-06-09,9,20,915.14,COBRADORA ABC LTDA,2025-06-15,15,915.14,118.97,6,100.0,13.000196691216646,1
5282,722982,2025-06-09,9,13,1299.29,COBRADORA ABC LTDA,2025-06-17,17,1299.29,168.91,8,100.0,13.000177019756945,1
3511,884958,2025-06-09,9,18,806.38,COBRADORA ABC LTDA,2025-06-15,15,806.38,104.83,6,100.0,13.000074406607306,1
1659,559547,2025-06-10,10,12,970.02,COBRADORA ABC LTDA,2025-06-18,18,970.02,126.1,8,100.0,12.999731964289396,1
3811,514887,2025-06-07,7,12,519.63,COBRADORA ABC LTDA,2025-06-15,15,519.63,67.55,8,100.0,12.999634355214287,1
8098,768653,2025-06-09,9,15,1233.56,COBRADORA ABC LTDA,2025-06-17,17,1233.56,160.36,8,100.0,12.999773014689195,1
7546,934073,2025-06-06,6,18,917.7,COBRADORA ABC LTDA,2025-06-18,18,917.7,119.3,12,100.0,12.999891031927643,1
2986,741745,2025-06-06,6,13,1025.36,COBRADORA ABC LTDA,2025-06-16,16,1025.36,133.3,10,100.0,13.000312085511432,1
9338,913245,2025-06-05,5,13,614.69,COBRADORA ABC LTDA,2025-06-17,17,614.69,79.91,12,100.0,13.000048805088744,1
3911,131621,2025-06-07,7,12,1491.71,COBRADORA ABC LTDA,2025-06-18,18,1491.71,193.92,11,100.0,12.999845814534996,1
